part_number,model,light_type,buzzer,voltage,color,mount,ip,db,ma,weight,size,pdf_page,description,source_url,source_page,source_title,category_name,row_no,data_model,data_voltage,data_color,data_ip,data_pl_id,search_text,validation_status
SK-24-B,SK,Bulb Revolving,-,DC24V,Blue,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SK,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1014,SK,DC24V,Blue,IP54,18,"sk-24-b sk 18 bulb revolving 24 dc24v b blue direct stream ip54 71 pdf đèn khí động học sk sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SK-24-G,SK,Bulb Revolving,-,DC24V,Green,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SK,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1012,SK,DC24V,Green,IP54,18,"sk-24-g sk 18 bulb revolving 24 dc24v g green direct stream ip54 71 pdf đèn khí động học sk sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SK-24-R,SK,Bulb Revolving,-,DC24V,Red,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SK,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1011,SK,DC24V,Red,IP54,18,"sk-24-r sk 18 bulb revolving 24 dc24v r red direct stream ip54 71 pdf đèn khí động học sk sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKH-12-A,SKH,Bulb Revolving,-,DC12V,Amber,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SKH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1017,SKH,DC12V,Amber,IP54,18,"skh-12-a skh 18 bulb revolving 12 dc12v a amber direct stream ip54 71 pdf đèn khí động học skh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKH-12-B,SKH,Bulb Revolving,-,DC12V,Blue,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SKH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1018,SKH,DC12V,Blue,IP54,18,"skh-12-b skh 18 bulb revolving 12 dc12v b blue direct stream ip54 71 pdf đèn khí động học skh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKH-12-G,SKH,Bulb Revolving,-,DC12V,Green,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SKH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1016,SKH,DC12V,Green,IP54,18,"skh-12-g skh 18 bulb revolving 12 dc12v g green direct stream ip54 71 pdf đèn khí động học skh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKH-12-R,SKH,Bulb Revolving,-,DC12V,Red,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SKH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1015,SKH,DC12V,Red,IP54,18,"skh-12-r skh 18 bulb revolving 12 dc12v r red direct stream ip54 71 pdf đèn khí động học skh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKH-24-A,SKH,Bulb Revolving,-,DC24V,Amber,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SKH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1021,SKH,DC24V,Amber,IP54,18,"skh-24-a skh 18 bulb revolving 24 dc24v a amber direct stream ip54 71 pdf đèn khí động học skh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKH-24-B,SKH,Bulb Revolving,-,DC24V,Blue,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SKH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1022,SKH,DC24V,Blue,IP54,18,"skh-24-b skh 18 bulb revolving 24 dc24v b blue direct stream ip54 71 pdf đèn khí động học skh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKH-24-G,SKH,Bulb Revolving,-,DC24V,Green,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SKH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1020,SKH,DC24V,Green,IP54,18,"skh-24-g skh 18 bulb revolving 24 dc24v g green direct stream ip54 71 pdf đèn khí động học skh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKH-24-R,SKH,Bulb Revolving,-,DC24V,Red,Direct,IP54,-,-,-,Stream,71,Đèn khí động học SKH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1019,SKH,DC24V,Red,IP54,18,"skh-24-r skh 18 bulb revolving 24 dc24v r red direct stream ip54 71 pdf đèn khí động học skh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKLR-12-A,SKLR,LED Revolving,-,DC12V,Amber,Direct,IP54,-,420,0.38,Stream,73,Đèn LED khí động học SKLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1041,SKLR,DC12V,Amber,IP54,19,"sklr-12-a sklr 19 led revolving 12 dc12v a amber direct 420 0.38 stream ip54 73 pdf đèn led khí động học sklr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKLR-12-B,SKLR,LED Revolving,-,DC12V,Blue,Direct,IP54,-,420,0.38,Stream,73,Đèn LED khí động học SKLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1042,SKLR,DC12V,Blue,IP54,19,"sklr-12-b sklr 19 led revolving 12 dc12v b blue direct 420 0.38 stream ip54 73 pdf đèn led khí động học sklr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKLR-12-G,SKLR,LED Revolving,-,DC12V,Green,Direct,IP54,-,420,0.38,Stream,73,Đèn LED khí động học SKLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1040,SKLR,DC12V,Green,IP54,19,"sklr-12-g sklr 19 led revolving 12 dc12v g green direct 420 0.38 stream ip54 73 pdf đèn led khí động học sklr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKLR-12-R,SKLR,LED Revolving,-,DC12V,Red,Direct,IP54,-,420,0.38,Stream,73,Đèn LED khí động học SKLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1039,SKLR,DC12V,Red,IP54,19,"sklr-12-r sklr 19 led revolving 12 dc12v r red direct 420 0.38 stream ip54 73 pdf đèn led khí động học sklr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKLR-24-A,SKLR,LED Revolving,-,DC24V,Amber,Direct,IP54,-,265,0.38,Stream,73,Đèn LED khí động học SKLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1045,SKLR,DC24V,Amber,IP54,19,"sklr-24-a sklr 19 led revolving 24 dc24v a amber direct 265 0.38 stream ip54 73 pdf đèn led khí động học sklr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKLR-24-B,SKLR,LED Revolving,-,DC24V,Blue,Direct,IP54,-,265,0.38,Stream,73,Đèn LED khí động học SKLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1046,SKLR,DC24V,Blue,IP54,19,"sklr-24-b sklr 19 led revolving 24 dc24v b blue direct 265 0.38 stream ip54 73 pdf đèn led khí động học sklr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKLR-24-G,SKLR,LED Revolving,-,DC24V,Green,Direct,IP54,-,265,0.38,Stream,73,Đèn LED khí động học SKLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1044,SKLR,DC24V,Green,IP54,19,"sklr-24-g sklr 19 led revolving 24 dc24v g green direct 265 0.38 stream ip54 73 pdf đèn led khí động học sklr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKLR-24-R,SKLR,LED Revolving,-,DC24V,Red,Direct,IP54,-,265,0.38,Stream,73,Đèn LED khí động học SKLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1043,SKLR,DC24V,Red,IP54,19,"sklr-24-r sklr 19 led revolving 24 dc24v r red direct 265 0.38 stream ip54 73 pdf đèn led khí động học sklr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKM-12-A,SKM,Bulb Revolving,-,DC12V,Amber,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKM,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1025,SKM,DC12V,Amber,IP54,18,"skm-12-a skm 18 bulb revolving 12 dc12v a amber magnet stream ip54 71 pdf đèn khí động học skm sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKM-12-B,SKM,Bulb Revolving,-,DC12V,Blue,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKM,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1026,SKM,DC12V,Blue,IP54,18,"skm-12-b skm 18 bulb revolving 12 dc12v b blue magnet stream ip54 71 pdf đèn khí động học skm sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKM-12-G,SKM,Bulb Revolving,-,DC12V,Green,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKM,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1024,SKM,DC12V,Green,IP54,18,"skm-12-g skm 18 bulb revolving 12 dc12v g green magnet stream ip54 71 pdf đèn khí động học skm sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKM-12-R,SKM,Bulb Revolving,-,DC12V,Red,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKM,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1023,SKM,DC12V,Red,IP54,18,"skm-12-r skm 18 bulb revolving 12 dc12v r red magnet stream ip54 71 pdf đèn khí động học skm sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKM-24-A,SKM,Bulb Revolving,-,DC24V,Amber,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKM,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1029,SKM,DC24V,Amber,IP54,18,"skm-24-a skm 18 bulb revolving 24 dc24v a amber magnet stream ip54 71 pdf đèn khí động học skm sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKM-24-B,SKM,Bulb Revolving,-,DC24V,Blue,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKM,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1030,SKM,DC24V,Blue,IP54,18,"skm-24-b skm 18 bulb revolving 24 dc24v b blue magnet stream ip54 71 pdf đèn khí động học skm sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKM-24-G,SKM,Bulb Revolving,-,DC24V,Green,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKM,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1028,SKM,DC24V,Green,IP54,18,"skm-24-g skm 18 bulb revolving 24 dc24v g green magnet stream ip54 71 pdf đèn khí động học skm sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKM-24-R,SKM,Bulb Revolving,-,DC24V,Red,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKM,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1027,SKM,DC24V,Red,IP54,18,"skm-24-r skm 18 bulb revolving 24 dc24v r red magnet stream ip54 71 pdf đèn khí động học skm sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKMH-12-A,SKMH,Bulb Revolving,-,DC12V,Amber,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKMH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1033,SKMH,DC12V,Amber,IP54,18,"skmh-12-a skmh 18 bulb revolving 12 dc12v a amber magnet stream ip54 71 pdf đèn khí động học skmh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKMH-12-B,SKMH,Bulb Revolving,-,DC12V,Blue,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKMH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1034,SKMH,DC12V,Blue,IP54,18,"skmh-12-b skmh 18 bulb revolving 12 dc12v b blue magnet stream ip54 71 pdf đèn khí động học skmh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKMH-12-G,SKMH,Bulb Revolving,-,DC12V,Green,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKMH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1032,SKMH,DC12V,Green,IP54,18,"skmh-12-g skmh 18 bulb revolving 12 dc12v g green magnet stream ip54 71 pdf đèn khí động học skmh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKMH-12-R,SKMH,Bulb Revolving,-,DC12V,Red,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKMH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1031,SKMH,DC12V,Red,IP54,18,"skmh-12-r skmh 18 bulb revolving 12 dc12v r red magnet stream ip54 71 pdf đèn khí động học skmh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKMH-24-A,SKMH,Bulb Revolving,-,DC24V,Amber,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKMH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1037,SKMH,DC24V,Amber,IP54,18,"skmh-24-a skmh 18 bulb revolving 24 dc24v a amber magnet stream ip54 71 pdf đèn khí động học skmh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKMH-24-B,SKMH,Bulb Revolving,-,DC24V,Blue,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKMH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1038,SKMH,DC24V,Blue,IP54,18,"skmh-24-b skmh 18 bulb revolving 24 dc24v b blue magnet stream ip54 71 pdf đèn khí động học skmh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKMH-24-G,SKMH,Bulb Revolving,-,DC24V,Green,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKMH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1036,SKMH,DC24V,Green,IP54,18,"skmh-24-g skmh 18 bulb revolving 24 dc24v g green magnet stream ip54 71 pdf đèn khí động học skmh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKMH-24-R,SKMH,Bulb Revolving,-,DC24V,Red,Magnet,IP54,-,-,-,Stream,71,Đèn khí động học SKMH,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1035,SKMH,DC24V,Red,IP54,18,"skmh-24-r skmh 18 bulb revolving 24 dc24v r red magnet stream ip54 71 pdf đèn khí động học skmh sk_stream sk,skh,skm,skmh,skmp,skmph signal beacons streamlined",imported_from_live_site
SKMLR-12-A,SKMLR,LED Revolving,-,DC12V,Amber,Magnet,IP54,-,420,0.46,Stream,73,Đèn LED khí động học SKMLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1049,SKMLR,DC12V,Amber,IP54,19,"skmlr-12-a skmlr 19 led revolving 12 dc12v a amber magnet 420 0.46 stream ip54 73 pdf đèn led khí động học skmlr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKMLR-12-B,SKMLR,LED Revolving,-,DC12V,Blue,Magnet,IP54,-,420,0.46,Stream,73,Đèn LED khí động học SKMLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1050,SKMLR,DC12V,Blue,IP54,19,"skmlr-12-b skmlr 19 led revolving 12 dc12v b blue magnet 420 0.46 stream ip54 73 pdf đèn led khí động học skmlr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKMLR-12-G,SKMLR,LED Revolving,-,DC12V,Green,Magnet,IP54,-,420,0.46,Stream,73,Đèn LED khí động học SKMLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1048,SKMLR,DC12V,Green,IP54,19,"skmlr-12-g skmlr 19 led revolving 12 dc12v g green magnet 420 0.46 stream ip54 73 pdf đèn led khí động học skmlr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKMLR-12-R,SKMLR,LED Revolving,-,DC12V,Red,Magnet,IP54,-,420,0.46,Stream,73,Đèn LED khí động học SKMLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1047,SKMLR,DC12V,Red,IP54,19,"skmlr-12-r skmlr 19 led revolving 12 dc12v r red magnet 420 0.46 stream ip54 73 pdf đèn led khí động học skmlr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKMLR-24-A,SKMLR,LED Revolving,-,DC24V,Amber,Magnet,IP54,-,265,0.46,Stream,73,Đèn LED khí động học SKMLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1053,SKMLR,DC24V,Amber,IP54,19,"skmlr-24-a skmlr 19 led revolving 24 dc24v a amber magnet 265 0.46 stream ip54 73 pdf đèn led khí động học skmlr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKMLR-24-B,SKMLR,LED Revolving,-,DC24V,Blue,Magnet,IP54,-,265,0.46,Stream,73,Đèn LED khí động học SKMLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1054,SKMLR,DC24V,Blue,IP54,19,"skmlr-24-b skmlr 19 led revolving 24 dc24v b blue magnet 265 0.46 stream ip54 73 pdf đèn led khí động học skmlr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKMLR-24-G,SKMLR,LED Revolving,-,DC24V,Green,Magnet,IP54,-,265,0.46,Stream,73,Đèn LED khí động học SKMLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1052,SKMLR,DC24V,Green,IP54,19,"skmlr-24-g skmlr 19 led revolving 24 dc24v g green magnet 265 0.46 stream ip54 73 pdf đèn led khí động học skmlr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKMLR-24-R,SKMLR,LED Revolving,-,DC24V,Red,Magnet,IP54,-,265,0.46,Stream,73,Đèn LED khí động học SKMLR,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1051,SKMLR,DC24V,Red,IP54,19,"skmlr-24-r skmlr 19 led revolving 24 dc24v r red magnet 265 0.46 stream ip54 73 pdf đèn led khí động học skmlr sk_led sklr,skmlr,skmplr signal beacons streamlined led",imported_from_live_site
SKTL-12/24-A,SKTL,LED,-,DC12V-24V,Amber,Direct,IP65,-,880,0.35,105x105,74,Đèn LED vuông SKTL,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",989,SKTL,DC12V-24V,Amber,IP65,20,"sktl-12/24-a sktl 20 led 12/24 dc12v-24v a amber direct 880 0.35 105x105 ip65 74 pdf đèn led vuông sktl sktl sktl,sktlb,sktlm,sktlbm signal beacons cubic led",imported_from_live_site
SKTL-12/24-B,SKTL,LED,-,DC12V-24V,Blue,Direct,IP65,-,880,0.35,105x105,74,Đèn LED vuông SKTL,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",990,SKTL,DC12V-24V,Blue,IP65,20,"sktl-12/24-b sktl 20 led 12/24 dc12v-24v b blue direct 880 0.35 105x105 ip65 74 pdf đèn led vuông sktl sktl sktl,sktlb,sktlm,sktlbm signal beacons cubic led",imported_from_live_site
SKTL-12/24-G,SKTL,LED,-,DC12V-24V,Green,Direct,IP65,-,880,0.35,105x105,74,Đèn LED vuông SKTL,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",988,SKTL,DC12V-24V,Green,IP65,20,"sktl-12/24-g sktl 20 led 12/24 dc12v-24v g green direct 880 0.35 105x105 ip65 74 pdf đèn led vuông sktl sktl sktl,sktlb,sktlm,sktlbm signal beacons cubic led",imported_from_live_site
SKTL-12/24-R,SKTL,LED,-,DC12V-24V,Red,Direct,IP65,-,880,0.35,105x105,74,Đèn LED vuông SKTL,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",987,SKTL,DC12V-24V,Red,IP65,20,"sktl-12/24-r sktl 20 led 12/24 dc12v-24v r red direct 880 0.35 105x105 ip65 74 pdf đèn led vuông sktl sktl sktl,sktlb,sktlm,sktlbm signal beacons cubic led",imported_from_live_site
SKTL-12/24-W,SKTL,LED,-,DC12V-24V,White,Direct,IP65,-,880,0.35,105x105,74,Đèn LED vuông SKTL,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",991,SKTL,DC12V-24V,White,IP65,20,"sktl-12/24-w sktl 20 led 12/24 dc12v-24v w white direct 880 0.35 105x105 ip65 74 pdf đèn led vuông sktl sktl sktl,sktlb,sktlm,sktlbm signal beacons cubic led",imported_from_live_site
